replayId,winnerPlayerIndex,turns,actions,mapId,isStd,isBoot,mapName,winnerCoName,winnerUserName
6433,1,16,646,263,False,True,Crixalis,Lin,Heroes
6412,1,18,795,263,False,False,Crixalis,Mira,TMQs
6357,1,16,669,263,False,False,Crixalis,Lin,Lolom
6322,2,21,1028,263,False,False,Crixalis,Grat,Ndrangheta'
6263,2,14,556,263,False,False,Crixalis,Isabella,BusterBeachside
6206,2,11,369,263,False,True,Crixalis,Caulder,Draco
6142,2,30,1534,263,False,False,Crixalis,Forsythe,Frodoor
6141,1,16,670,263,False,False,Crixalis,Hawk,SSAO
6139,2,13,509,263,False,False,Crixalis,Caulder,Ndrangheta'
6116,2,14,613,263,False,False,Crixalis,Isabella,PhantomFullForce
6024,1,14,542,263,False,False,Crixalis,Tabitha,BWAVE
6022,2,17,733,263,False,False,Crixalis,Hawk,Ritmo
5936,1,19,841,263,False,False,Crixalis,Gage,SparkFox
5902,1,11,375,263,False,True,Crixalis,Forsythe,Kurau
5863,2,13,486,263,False,False,Crixalis,Waylon,Heroes
5859,1,15,559,263,False,True,Crixalis,Tabitha,Mike Zack
6428,2,16,517,4,False,False,All Roads Lead To Sol,Grat,Ritmo
6374,1,19,640,4,False,False,All Roads Lead To Sol,Lin,Lordofcold
6346,2,15,453,4,False,False,All Roads Lead To Sol,Hawk,Ndrangheta'
6329,2,16,475,4,False,False,All Roads Lead To Sol,Hawk,Tee Lord
6285,1,16,551,4,False,False,All Roads Lead To Sol,Will,PhantomFullForce
6181,0,45,1568,4,False,False,All Roads Lead To Sol,,
6180,1,14,423,4,False,True,All Roads Lead To Sol,Tabitha,BWAVE
6111,1,20,682,4,False,False,All Roads Lead To Sol,Brenner,SSAO
6076,1,7,148,4,False,True,All Roads Lead To Sol,Mira,Ritmo
6062,1,11,287,4,False,True,All Roads Lead To Sol,Brenner,Chopstix
6039,1,16,552,4,False,False,All Roads Lead To Sol,Brenner,BWAVE
6033,2,15,466,4,False,False,All Roads Lead To Sol,Brenner,Ritmo
6019,2,16,507,4,False,False,All Roads Lead To Sol,Brenner,Mini Nini
5932,1,11,287,4,False,True,All Roads Lead To Sol,Will,Heroes
5891,1,20,700,4,False,False,All Roads Lead To Sol,Grat,Ritmo
5869,1,21,660,4,False,True,All Roads Lead To Sol,Tabitha,Tee Lord
5840,2,11,287,4,False,False,All Roads Lead To Sol,Tabitha,BWAVE
5834,2,27,968,4,False,False,All Roads Lead To Sol,Tabitha,SparkFox
6425,2,19,964,243,True,True,White Nova,Will,TMQs
6324,1,16,683,243,True,False,White Nova,Penny,Frodoor
6213,2,21,1156,243,True,False,White Nova,Greyfield,PhantomFullForce
6148,1,13,509,243,True,False,White Nova,Hawk,Rush_FTK
6138,1,26,1230,243,True,False,White Nova,Tinker,Ndrangheta'
6134,1,11,387,243,True,True,White Nova,Greyfield,Getaway Driver
6070,1,16,693,243,True,True,White Nova,Waylon,Draco
6010,2,26,1389,243,True,False,White Nova,Zhaotiantong,GM667_
5928,2,21,1249,243,True,False,White Nova,Greyfield,BleakHorizon
5926,2,12,403,243,True,False,White Nova,Penny,Sliicer
5845,1,10,324,243,True,True,White Nova,Caulder,Lolom
5807,2,15,639,243,True,False,White Nova,Penny,Frodoor
5757,2,17,799,243,True,False,White Nova,Forsythe,TheMuffins
5695,1,16,711,243,True,False,White Nova,Tabitha,Nanao
6424,2,15,528,127,False,True,Bike festival,Hawk,Chopstix
6306,2,14,479,127,False,False,Bike festival,Brenner,Ritmo
6284,2,17,624,127,False,False,Bike festival,Lin,Heroes
6258,2,17,645,127,False,False,Bike festival,Tabitha,Tee Lord
6249,0,22,893,127,False,False,Bike festival,,
6241,2,31,1851,127,False,False,Bike festival,Isabella,Mini Nini
6232,1,19,770,127,False,False,Bike festival,Brenner,Ritmo
6118,2,15,557,127,False,False,Bike festival,Lin,PhantomFullForce
6117,1,20,879,127,False,True,Bike festival,Lin,Lolom
6097,1,15,581,127,False,False,Bike festival,Penny,Heroes
6055,1,15,494,127,False,True,Bike festival,Brenner,Heroes
6044,1,18,712,127,False,False,Bike festival,Isabella,BWAVE
6030,2,21,922,127,False,False,Bike festival,Hawk,Ndrangheta'
5991,2,25,1031,127,False,False,Bike festival,Hawk,Tee Lord
5907,1,18,700,127,False,False,Bike festival,Isabella,HoshiNoKoe13
5896,2,17,693,127,False,False,Bike festival,Tabitha,BWAVE
5882,1,19,716,127,False,False,Bike festival,Hawk,Chopstix
5871,2,16,565,127,False,True,Bike festival,Mira,Lolom
5855,1,24,1128,127,False,False,Bike festival,Forsythe,PhantomFullForce
5843,1,19,825,127,False,False,Bike festival,Hawk,Tee Lord
5789,1,18,659,127,False,False,Bike festival,Lin,Ritmo
5760,2,9,225,127,False,True,Bike festival,Will,Heroes
5664,1,9,252,127,False,True,Bike festival,Penny,SparkFox
5613,1,14,500,127,False,True,Bike festival,Waylon,TMQs
5583,1,26,927,127,False,False,Bike festival,Hawk,Chopstix
5498,1,17,661,127,False,False,Bike festival,Brenner,Ndrangheta'
5381,2,24,968,127,False,False,Bike festival,Caulder,Mike Zack
5368,1,11,356,127,False,True,Bike festival,Tinker,Nanao
5342,2,16,622,127,False,False,Bike festival,Mira,BWAVE
5311,1,18,833,127,False,False,Bike festival,Penny,Mahizzle
5254,1,22,1011,127,False,False,Bike festival,Caulder,Tayufa
5182,1,8,206,127,False,True,Bike festival,Brenner,Dyslexic Lizard
5146,1,14,568,127,False,False,Bike festival,Will,BWAVE
5133,2,16,652,127,False,False,Bike festival,Isabella,Lordofcold
5074,1,20,898,127,False,False,Bike festival,Lin,Feda
